Abk;Kurzname;Bedeutung
Rs1;Ratesignal;Das Signal erscheint, wenn das Stellwerkspersonal nicht mit der Bahnhofsfahrordnung vertraut ist. Es bietet dem Triebfahrzeugführer die Möglichkeit, sich wahlweise einen freien oder den kürzesten Fahrweg über die Betriebsstelle auszuwählen
Ua2;Unterhaltungssignal;Dieses Signal wurde in erster Linie für vereinsamte Cargo-Tf eingeführt. Es weist den Tf darauf hin, daß vom Standort des Signals ab über ZF ein Unterhaltungsprogramm gesendet wird. Die jeweils geltenden Kanäle sind über EBuLa abzurufen
Ue3;Ende der Unterhaltungsstrecke;Das Signal zeigt dem Tf an, daß er sich dem Ende der Unterhaltungsstrecke nähert. Die Gründe können vielfältig sein. Bei abzweigenden Gleisen oder Strecken wird auf den Zuordnungspfeil verwiesen.
Hp4;Höchste Panik;Das Signal erscheint, wenn der FDL die Kontrolle über die Sicherungstechnik verloren hat. Tf die unverhofft auf Signalbild stoßen haben Zp 1 zu geben und ihr Fz mit der zu Gebote stehenden Raschheit, jedoch ohne Überstürzung, zu verlassen.
Üv5;Übersicht verloren;Erscheint meist bei Wartungsarbeiten in Relaisräumen. Weist Tf auf mögliche Rauchentwicklung in Schaltkästen hin. Beim Erkennen dieses Signals hat der Tf in erster Linie Ruhe zu bewahren. Falls notwendig, sind Maßnahmen zur Brandbekämpfung einzuleiten
Fs6;Fröhlichkeitssignal;Signal gilt als Begrüßung unter guten Kollegen. Bei Erkennen hat der Tf bei geöffnetem Fst-Fenster zurückzuwinken und durch Pfeifsignale zu antworten. Die Fahrt darf hierbei ohne Verringerung der Geschwindigkeit fortgesetzt werden
Nt7;Neigezug-Warnsignal;Zeigt Beginn einer Strecke mit geringen Kurvenradien an. Durch unkontrolliertes Neigen des Fz kann es zu unvorhergesehenen Zwischenfällen kommen. Personen im Zug sind mit dem Zuruf „Jetzt geht´s rund!“ auf die bevorstehende Strecke einzustimmen
Üs8;Überraschungssignal;Eine Überraschung ist zu erwarten. Es kann sich um entgegenkommende Züge, abgebaute Gleise, oder eine andere Überraschung handeln. Die Aufmerksamkeit ist maximal zu erhöhen, um auf alle Möglichkeiten der Überraschung vorbereitet zu sein
We9;Weißwurst-Warnsignal;Dieses Signal zeigt an, dass erhebliche Gefahr durch MA süddeutscher Org-Einheiten besteht. Der MA hat sich auf unverständliche Laute im ZF einzustellen. Bei akuter Gefahr leuchten zwei weiße von links nach rechts steigende Lichter
Rk10;Rette-sich-wer-kann;Das Signal wird gegeben, wenn keine Hoffnung auf ein sicheres Beenden der Zug- oder Rangierfahrt mehr besteht. Es zeigt dem Tf an, dass zur Vermeidung von Schäden an Leib und Seele das Tfz schnellstens verlassen werden muss
